timestamp;latitude;longitude;altitude;horizontalAccuracy;verticalAccuracy;speed;course
2020-06-21 10:13:48 +0000;51.828174;5.893280;67.426941;10.000000;10.000000;15.660000;29.882812
2020-06-21 10:13:54 +0000;51.828384;5.893475;67.583679;10.000000;10.000000;12.492000;27.555490
2020-06-21 10:13:59 +0000;51.828598;5.893655;68.817627;10.000000;10.000000;18.468000;27.555490
2020-06-21 10:14:04 +0000;51.828790;5.893871;69.085022;10.000000;10.000000;17.712000;71.610703
2020-06-21 10:14:10 +0000;51.828993;5.894039;69.272949;10.000000;10.000000;18.324001;341.367188
2020-06-21 10:14:15 +0000;51.829225;5.894044;70.291443;10.000000;10.000000;16.668000;10.230571
2020-06-21 10:14:20 +0000;51.829466;5.894152;70.755493;10.000000;10.000000;18.719999;6.679688
2020-06-21 10:14:24 +0000;51.829708;5.894178;71.170227;10.000000;10.000000;20.880001;8.331152
2020-06-21 10:14:29 +0000;51.829984;5.894249;70.139160;10.000000;10.000000;21.204000;13.087557
2020-06-21 10:14:33 +0000;51.830225;5.894377;69.938171;10.000000;10.000000;23.363999;20.847790
2020-06-21 10:14:36 +0000;51.830448;5.894542;68.519714;10.000000;10.000000;28.728000;27.871267
2020-06-21 10:14:39 +0000;51.830657;5.894730;67.647339;10.000000;10.000000;29.088000;30.278528
2020-06-21 10:14:42 +0000;51.830873;5.894944;66.180603;10.000000;10.000000;32.724001;32.497169
2020-06-21 10:14:45 +0000;51.831119;5.895245;63.824951;10.000000;10.000000;38.195999;51.287971
2020-06-21 10:14:48 +0000;51.831296;5.895611;62.845703;10.000000;10.000000;36.972002;57.521545
2020-06-21 10:14:50 +0000;51.831419;5.895920;61.487244;10.000000;10.000000;38.339999;55.642914
2020-06-21 10:14:53 +0000;51.831605;5.896249;59.944946;10.000000;10.000000;38.807999;41.212849
2020-06-21 10:14:56 +0000;51.831819;5.896511;59.355286;10.000000;10.000000;35.639999;34.773483
2020-06-21 10:15:00 +0000;51.832021;5.896738;58.459045;10.000000;10.000000;20.088000;34.773483
2020-06-21 10:15:07 +0000;51.832214;5.896520;57.921204;10.000000;10.000000;24.588000;308.869995
2020-06-21 10:15:11 +0000;51.832364;5.896219;57.963623;10.000000;10.000000;23.688000;308.869995
2020-06-21 10:15:15 +0000;51.832496;5.895913;58.469482;10.000000;10.000000;22.500000;304.576599
2020-06-21 10:15:20 +0000;51.832721;5.895954;59.878235;10.000000;10.000000;19.368000;37.322178
2020-06-21 10:15:37 +0000;51.832957;5.895707;61.060303;10.000000;10.000000;10.476000;347.184021
2020-06-21 10:15:49 +0000;51.833195;5.895642;60.790955;10.000000;10.000000;4.752000;354.858307
2020-06-21 10:15:59 +0000;51.833455;5.895681;61.504456;10.000000;10.000000;9.432000;19.296722
2020-06-21 10:16:04 +0000;51.833605;5.895967;62.968018;10.000000;10.000000;11.772000;9.843750
2020-06-21 10:16:09 +0000;51.833807;5.896158;64.321594;10.000000;10.000000;17.100000;30.585938
2020-06-21 10:16:14 +0000;51.834063;5.896302;64.391846;10.000000;10.000000;16.668000;28.476562
2020-06-21 10:16:18 +0000;51.834260;5.896483;64.961304;10.000000;10.000000;15.875999;37.968750
2020-06-21 10:16:23 +0000;51.834441;5.896774;65.055359;10.000000;10.000000;15.696000;68.203125
2020-06-21 10:16:30 +0000;51.834480;5.897158;65.664001;10.000000;10.000000;12.852000;117.421875
2020-06-21 10:16:40 +0000;51.834520;5.897524;65.798401;10.000000;10.000000;8.280000;52.031250
2020-06-21 10:16:47 +0000;51.834622;5.897953;66.427307;10.000000;10.000000;16.488000;83.671875
2020-06-21 10:16:52 +0000;51.834610;5.898319;67.854004;10.000000;10.000000;16.919999;92.460938
2020-06-21 10:16:58 +0000;51.834627;5.898702;67.328186;10.000000;10.000000;13.500000;43.242188
2020-06-21 10:17:04 +0000;51.834821;5.898910;64.863831;10.000000;10.000000;8.028000;311.484375
2020-06-21 10:17:12 +0000;51.834807;5.898541;65.078674;10.000000;10.000000;16.272000;246.093750
2020-06-21 10:17:17 +0000;51.834749;5.898171;64.106873;10.000000;10.000000;16.524001;262.968750
2020-06-21 10:17:22 +0000;51.834768;5.897756;62.829346;10.000000;10.000000;16.308001;276.679688
2020-06-21 10:17:25 +0000;51.834815;5.897369;61.430969;10.000000;10.000000;29.592001;275.273438
2020-06-21 10:17:29 +0000;51.834793;5.896926;58.479370;10.000000;10.000000;23.472000;249.960938
2020-06-21 10:17:39 +0000;51.834966;5.897186;57.907959;10.000000;10.000000;22.247999;54.140625
2020-06-21 10:17:43 +0000;51.835173;5.897441;57.074707;10.000000;10.000000;26.100000;21.796875
