Number	Latitude decimal	Longitude decimal	Length	Time	Duration	Speed	Knots	Bearing	Elevation	Elevation Delta	Elevation Gain	Elevation Loss	Latitude degrees	Longitude degrees	Name
1	51.817487	5.851248	0	2020-06-21T12:01:47Z	0			E	25.556152	0	0	0	51°49.049'N	5°51.075'E	
65	51.822853	5.887492	26.03971518332851	2020-06-21T12:11:31Z	4	6.509928795832127	12.65428923595484	NE	59.702454	-0.08325199999999455	53.22235199999999	-19.07605	51°49.371'N	5°53.250'E	
66	51.822993	5.887870	30.24213156062971	2020-06-21T12:11:36Z	5	6.048426312125942	11.75720017475519	NE	60.053772	0.3513179999999991	53.57366999999999	-19.07605	51°49.380'N	5°53.272'E	
67	51.823144	5.888277	32.57702294604448	2020-06-21T12:11:42Z	6	5.429503824340746	10.55411110562668	NE	59.665344	-0.3884280000000047	53.57366999999999	-19.464478	51°49.389'N	5°53.297'E	
68	51.823275	5.888628	28.13907936179597	2020-06-21T12:11:48Z	6	4.689846560299328	9.116332406626528	NE	59.818970	0.1536260000000027	53.727296	-19.464478	51°49.397'N	5°53.318'E	
69	51.823392	5.888944	25.27949857037647	2020-06-21T12:11:53Z	5	5.055899714075294	9.827882813534231	NE	60.513672	0.6947019999999995	54.42199799999999	-19.464478	51°49.404'N	5°53.337'E	
70	51.823525	5.889301	28.60624709198943	2020-06-21T12:11:57Z	4	7.151561772997358	13.90152396478535	NE	60.365967	-0.147705000000002	54.42199799999999	-19.612183	51°49.411'N	5°53.358'E	
71	51.823731	5.889633	32.28422573491161	2020-06-21T12:12:02Z	5	6.456845146982322	12.55110287749953	N	59.493347	-0.8726199999999977	54.42199799999999	-20.484803	51°49.424'N	5°53.378'E	
72	51.823960	5.889729	26.26593381098423	2020-06-21T12:12:08Z	6	4.377655635164039	8.509481796212546	NE	59.450073	-0.0432739999999967	54.42199799999999	-20.528077	51°49.438'N	5°53.384'E	
73	51.824192	5.889959	30.21061677509838	2020-06-21T12:12:12Z	4	7.552654193774594	14.68118525787261	N	59.640930	0.1908569999999941	54.61285499999999	-20.528077	51°49.452'N	5°53.398'E	
74	51.824405	5.890105	25.68461843318839	2020-06-21T12:12:16Z	4	6.421154608297098	12.48172602044404	NE	60.803223	1.162293000000005	55.77514799999999	-20.528077	51°49.464'N	5°53.406'E	
75	51.824609	5.890373	29.17700965734296	2020-06-21T12:12:21Z	5	5.835401931468593	11.34311390565896	N	61.059998	0.2567749999999975	56.03192299999999	-20.528077	51°49.477'N	5°53.422'E	
76	51.824827	5.890550	27.08173302088452	2020-06-21T12:12:26Z	5	5.416346604176904	10.52853551567537	N	60.427185	-0.6328129999999987	56.03192299999999	-21.16088999999999	51°49.490'N	5°53.433'E	
77	51.825077	5.890751	30.99624464886914	2020-06-21T12:12:33Z	7	4.428034949838449	8.607411349575301	N	60.884155	0.4569699999999983	56.48889299999999	-21.16088999999999	51°49.505'N	5°53.445'E	
78	51.825295	5.890927	27.05096629124541	2020-06-21T12:12:37Z	4	6.762741572811351	13.14571796010437	N	61.687988	0.8038329999999974	57.29272599999999	-21.16088999999999	51°49.518'N	5°53.456'E	
79	51.825497	5.891090	25.06302139997008	2020-06-21T12:12:42Z	5	5.012604279994015	9.743723222447539	N	60.840698	-0.8472899999999939	57.29272599999999	-22.00817999999999	51°49.530'N	5°53.465'E	
80	51.825729	5.891242	27.79114096866699	2020-06-21T12:12:49Z	7	3.970162995523856	7.71737947293814	N	62.452454	1.611756	58.90448199999999	-22.00817999999999	51°49.544'N	5°53.475'E	
81	51.825937	5.891400	25.51315998403994	2020-06-21T12:12:54Z	5	5.102631996807988	9.918723103943327	N	61.955383	-0.4970710000000054	58.90448199999999	-22.50525099999999	51°49.556'N	5°53.484'E	
82	51.826190	5.891609	31.5405575452252	2020-06-21T12:13:00Z	6	5.256759590870867	10.21832317879548	N	62.624817	0.6694340000000025	59.57391599999999	-22.50525099999999	51°49.571'N	5°53.497'E	
83	51.826397	5.891783	25.90014544177949	2020-06-21T12:13:04Z	4	6.475036360444872	12.58646376759951	N	63.853088	1.228270999999999	60.80218699999999	-22.50525099999999	51°49.584'N	5°53.507'E	
